benchmark,network_id,network,domain,fold,family,method_id,method,parameter,parameter_value,is_primary,configuration_scoring_seconds,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count
revision,socfb_middlebury45,socfb-Middlebury45,social,2,quasi_local_walk,srw,SRW-l3,steps,3.0,True,124.57540848106146,0.9514356840327405,0.9556655118400037,0.8921342767813065,0.8921342767813065,0.8921342767813064,0.9010943388567664,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,2,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,124.57540848106146,0.9171367787758797,0.9346774739263647,0.8640365311831496,0.8640365311831496,0.8640365311831496,0.8722169765495743,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,2,quasi_local_walk,lrw,LRW-l3,steps,5.0,False,207.5826663118787,0.8780363443038665,0.8918067663357816,0.8105561954911963,0.8105561954911963,0.8105561954911963,0.8226490658554605,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,2,quasi_local_walk,srw,SRW-l3,steps,5.0,False,207.5826663118787,0.9369371903643371,0.9435184772491709,0.8749382919203554,0.8749382919203554,0.8749382919203554,0.8846520788382426,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,2,quasi_local_walk,pfp,PFP-l3,steps,5.0,False,207.5826663118787,0.9074022173647932,0.9261502548854073,0.8541632384400197,0.8541632384400197,0.8541632384400197,0.8626145844439674,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,2,quasi_local_walk,lrw,LRW-l3,steps,7.0,False,208.72373466892168,0.8401503043765772,0.8577757166145649,0.775094619055455,0.775094619055455,0.775094619055455,0.7878614573903863,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,2,quasi_local_walk,srw,SRW-l3,steps,7.0,False,208.72373466892168,0.9227589667409034,0.9314258226708207,0.8575366134605891,0.8575366134605891,0.8575366134605891,0.8680458721294531,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,2,quasi_local_walk,pfp,PFP-l3,steps,7.0,False,208.72373466892168,0.9074010341293732,0.9261477078320406,0.8541632384400197,0.8541632384400197,0.8541632384400197,0.8626145786344911,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,3,quasi_local_path,lpi,LPI-beta-0.001,beta,0.1,False,1.4376091747544706,0.911180765903725,0.918792429508868,0.8409165706763205,0.8409165706763205,0.8409165706763206,0.8526452216317889,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,3,quasi_local_path,lpi,LPI-beta-0.001,beta,0.01,False,1.4188251169398427,0.9357694274645049,0.9408675159516282,0.8688909001151884,0.8688909001151884,0.8688909001151884,0.8793720189346753,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,3,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,1.407283941283822,0.9463929316830674,0.9495115499680488,0.8792167187757117,0.8792167187757117,0.8792167187757117,0.8894175935926848,24308,24308,24308,48616
