benchmark,network_id,network,domain,family,analysis_family,method_id,method,fold_count,mean_distinct_score_count,mean_tie_group_count,mean_tied_candidate_count,mean_tied_candidate_ratio,mean_largest_tie_group,mean_cutoff_tie_size,cutoff_boundary_tie_count,cutoff_boundary_tie_rate
standard,email_eu_core,email-Eu-core,communication,degree_based,standard_local,pa,PA,5,2074.0,1086.4,5044.0,0.8362618384646178,42.4,7.0,4,0.8
standard,email_eu_core,email-Eu-core,communication,enhanced_local,enhanced_local,car_aa,CAR-AA,5,3233.4,49.4,2847.6,0.4721131631849593,2734.4,1.4,1,0.2
standard,email_eu_core,email-Eu-core,communication,enhanced_local,enhanced_local,car_cn,CAR-CN,5,930.4,402.4,5503.6,0.9124609270183125,2734.4,75.6,5,1.0
standard,email_eu_core,email-Eu-core,communication,enhanced_local,enhanced_local,car_ra,CAR-RA,5,3233.0,49.8,2848.4,0.47224578917965426,2734.4,1.0,0,0.0
standard,email_eu_core,email-Eu-core,communication,enhanced_local,enhanced_local,fsw,FSW,5,2734.2,475.8,3773.2,0.6255721612978432,1940.4,40.0,3,0.6
standard,email_eu_core,email-Eu-core,communication,enhanced_local,enhanced_local,ia1,IA1,5,3549.6,128.2,2610.2,0.43275378193031305,1940.4,1.0,0,0.0
standard,email_eu_core,email-Eu-core,communication,enhanced_local,enhanced_local,ia2,IA2,5,3548.0,128.8,2612.4,0.43311853640726516,1940.4,1.6,1,0.2
standard,email_eu_core,email-Eu-core,communication,enhanced_local,enhanced_local,lit,LIT-i2,5,4079.0,8.8,1961.4,0.3251871940034575,1945.0,1.0,0,0.0
standard,email_eu_core,email-Eu-core,communication,enhanced_local,enhanced_local,ra_cni,RA-CNI,5,5694.4,19.2,356.4,0.05908877363843908,318.0,1.0,0,0.0
standard,email_eu_core,email-Eu-core,communication,local_bayesian,local_bayesian,lnb_aa,LNB-AA,5,3655.8,133.4,2509.2,0.41600868337358304,1940.4,1.0,0,0.0
standard,email_eu_core,email-Eu-core,communication,local_bayesian,local_bayesian,lnb_cn,LNB-CN,5,3655.2,133.8,2510.2,0.41617446586695167,1940.4,1.0,0,0.0
standard,email_eu_core,email-Eu-core,communication,local_bayesian,local_bayesian,lnb_ra,LNB-RA,5,3655.8,133.4,2509.2,0.41600868337358304,1940.4,1.0,0,0.0
standard,email_eu_core,email-Eu-core,communication,local_similarity,standard_local,aa,AA,5,3544.8,133.0,2619.8,0.43434545882435743,1940.4,1.0,0,0.0
standard,email_eu_core,email-Eu-core,communication,local_similarity,standard_local,cn,CN,5,68.2,57.0,6020.4,0.9981431261024672,1940.4,260.6,5,1.0
standard,email_eu_core,email-Eu-core,communication,local_similarity,standard_local,hdi,HDI,5,1238.2,726.2,5519.6,0.9151140847486705,1940.4,17.6,4,0.8
standard,email_eu_core,email-Eu-core,communication,local_similarity,standard_local,hpi,HPI,5,813.6,474.0,5692.0,0.9436963502557945,1940.4,13.2,4,0.8
standard,email_eu_core,email-Eu-core,communication,local_similarity,standard_local,ja,JA,5,1625.0,714.8,5121.4,0.8490950200368627,1940.4,12.0,4,0.8
standard,email_eu_core,email-Eu-core,communication,local_similarity,standard_local,llhn,LLHN,5,2671.6,616.4,3976.4,0.6592609454935754,1940.4,2.4,1,0.2
standard,email_eu_core,email-Eu-core,communication,local_similarity,standard_local,ra,RA,5,3541.8,132.8,2622.6,0.43480971578887173,1940.4,1.0,0,0.0
standard,email_eu_core,email-Eu-core,communication,local_similarity,standard_local,sa,SA,5,3280.4,504.8,3256.0,0.5398231983319477,1940.4,5.4,2,0.4
standard,email_eu_core,email-Eu-core,communication,local_similarity,standard_local,so,SO,5,1625.0,714.8,5121.4,0.8490950200368627,1940.4,12.0,4,0.8
standard,email_eu_core,email-Eu-core,communication,quasi_local_path,quasi_local_path,fl,FL-l3,5,3239.6,618.0,3410.0,0.5653557587834479,316.4,2.4,1,0.2
standard,email_eu_core,email-Eu-core,communication,quasi_local_path,quasi_local_path,lpi,LPI-beta-0.001,5,3235.0,622.4,3419.0,0.5668478782040285,316.4,2.4,1,0.2
standard,email_eu_core,email-Eu-core,communication,quasi_local_path,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,5,5697.6,18.0,352.0,0.05835927568171514,316.4,1.0,0,0.0
