benchmark,network_id,network,domain,negative_ratio,is_primary_ratio,family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,enhanced_local,car_ra,CAR-RA,0.7281765878717865,0.015717938914980398,0.8506022700895762,0.008644343531787174,0.7087965461413923,0.01656166225441214,0.7087965461413923,0.01656166225441214,0.7087965461413923,0.01656166225441214,0.7515700823933692,0.014495256688379098
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,local_similarity,cn,CN,0.9279304746705709,0.0071267142585561835,0.966324339783592,0.0035899091139586425,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9441045424912271,0.005993344751213995
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,quasi_local_path,fl,FL-l3,0.9546905795189083,0.005992915944806915,0.9819760782313885,0.002809458989166734,0.9370750134916352,0.006183821483273066,0.9370750134916352,0.006183821483273066,0.9370750134916352,0.006183821483273066,0.9460102250737163,0.005291927574313742
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,enhanced_local,fsw,FSW,0.9320656794941868,0.006841426817647484,0.9663408937942556,0.0035776000878807355,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9441153193653091,0.005979374897198645
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,local_similarity,hdi,HDI,0.927327830697535,0.008276582601462822,0.9660863831612744,0.003609987494460078,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.943395158915251,0.0062761039786933225
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,local_similarity,hpi,HPI,0.9140091175674128,0.007832215739200288,0.9657994926038462,0.0035947250645617227,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9404982936999342,0.006055598706487511
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,enhanced_local,ia1,IA1,0.9368304700921751,0.006559363271627583,0.9667049334970871,0.0035584446826450126,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9446423032441869,0.005941220182607541
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,enhanced_local,ia2,IA2,0.9364228427328053,0.006525389213685536,0.9666718837235108,0.0035568981107438366,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9445955665696311,0.005936571630359671
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,local_similarity,ja,JA,0.927835029310377,0.008379271227458168,0.9661259275590203,0.003613875209697233,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9434389035194226,0.006278160992368637
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,enhanced_local,lit,LIT-i2,0.8732916299934257,0.011584350248881388,0.9330591369023089,0.006468113978116759,0.8686454398273071,0.012819751469937935,0.8686454398273071,0.012819751469937935,0.8686454398273071,0.012819751469937949,0.8886572996425048,0.010884041404107658
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,local_similarity,llhn,LLHN,0.8920626085969111,0.010099779070074007,0.9648656763189984,0.0036415851932286285,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9364864560608339,0.007137308939181381
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,local_bayesian,lnb_aa,LNB-AA,0.9361400986041831,0.00665463334567462,0.9666379514965158,0.003567122320362504,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9445482126442792,0.005951450188648152
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,local_bayesian,lnb_cn,LNB-CN,0.9329271777341175,0.007038671695888696,0.9663784082579001,0.00359345735246921,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9441598820254555,0.006001625818300382
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,local_bayesian,lnb_ra,LNB-RA,0.936845286746902,0.006454876554122807,0.966696962292445,0.003553351588232295,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.944632778597186,0.0059281340872813885
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,quasi_local_path,lpi,LPI-beta-0.001,0.9546905795189083,0.005992915944806915,0.9819760782313885,0.002809458989166734,0.9370750134916352,0.006183821483273066,0.9370750134916352,0.006183821483273066,0.9370750134916352,0.006183821483273066,0.9460102250737163,0.005291927574313742
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,quasi_local_walk,lrw,LRW-l3,0.9050406224757612,0.008773819818405342,0.952284765097016,0.004858632186605636,0.8863464651915812,0.009867173596934687,0.8863464651915812,0.009867173596934687,0.8863464651915812,0.00986717359693471,0.903405316822804,0.008368526081941984
