benchmark,network_id,network,domain,fold,family,analysis_family,candidate_count,family_scoring_seconds,method_count,candidates_per_second
standard,power_1138_bus,power-1138-bus,infrastructure,2,enhanced_local,enhanced_local,128,0.0222818991169333,8,5744.573177010994
standard,power_1138_bus,power-1138-bus,infrastructure,2,local_bayesian,local_bayesian,128,0.0079993242397904,3,16001.35163459181
standard,power_1138_bus,power-1138-bus,infrastructure,2,local_similarity,standard_local,128,0.0042076082900166,9,30421.082757086926
standard,power_1138_bus,power-1138-bus,infrastructure,2,quasi_local_path,quasi_local_path,128,0.0053620869293808,3,23871.302663640538
standard,power_1138_bus,power-1138-bus,infrastructure,2,quasi_local_walk,quasi_local_walk,128,0.0184069396927952,3,6953.899025925611
standard,power_1138_bus,power-1138-bus,infrastructure,3,degree_based,standard_local,128,0.0023946519941091,1,53452.44332574545
standard,power_1138_bus,power-1138-bus,infrastructure,3,enhanced_local,enhanced_local,128,0.0379486070014536,8,3372.9828342604783
standard,power_1138_bus,power-1138-bus,infrastructure,3,local_bayesian,local_bayesian,128,0.0093629360198974,3,13670.925415701242
standard,power_1138_bus,power-1138-bus,infrastructure,3,local_similarity,standard_local,128,0.0044147530570626,9,28993.69417621879
standard,power_1138_bus,power-1138-bus,infrastructure,3,quasi_local_path,quasi_local_path,128,0.0056856637820601,3,22512.762784861938
standard,power_1138_bus,power-1138-bus,infrastructure,3,quasi_local_walk,quasi_local_walk,128,0.0175936529412865,3,7275.350970441517
standard,power_1138_bus,power-1138-bus,infrastructure,4,degree_based,standard_local,128,0.0019268579781055,1,66429.38994696978
standard,power_1138_bus,power-1138-bus,infrastructure,4,enhanced_local,enhanced_local,128,0.0228001680225133,8,5613.993715906413
standard,power_1138_bus,power-1138-bus,infrastructure,4,local_bayesian,local_bayesian,128,0.0087483469396829,3,14631.33559774432
standard,power_1138_bus,power-1138-bus,infrastructure,4,local_similarity,standard_local,128,0.002678895369172,9,47780.88815001483
standard,power_1138_bus,power-1138-bus,infrastructure,4,quasi_local_path,quasi_local_path,128,0.0055080861784517,3,23238.56160797765
standard,power_1138_bus,power-1138-bus,infrastructure,4,quasi_local_walk,quasi_local_walk,128,0.015736720059067,3,8133.8423457720755
standard,power_1138_bus,power-1138-bus,infrastructure,5,degree_based,standard_local,128,0.0025283629074692,1,50625.6438195114
standard,power_1138_bus,power-1138-bus,infrastructure,5,enhanced_local,enhanced_local,128,0.0223351162858307,8,5730.885765802018
standard,power_1138_bus,power-1138-bus,infrastructure,5,local_bayesian,local_bayesian,128,0.0089967311359941,3,14227.38971134726
standard,power_1138_bus,power-1138-bus,infrastructure,5,local_similarity,standard_local,128,0.002606114372611,9,49115.26575549332
standard,power_1138_bus,power-1138-bus,infrastructure,5,quasi_local_path,quasi_local_path,128,0.0056815929710865,3,22528.892979731063
standard,power_1138_bus,power-1138-bus,infrastructure,5,quasi_local_walk,quasi_local_walk,128,0.0175072089768946,3,7311.273896880417
standard,power_grid,power-grid,infrastructure,1,degree_based,standard_local,662,0.0031845341436564,1,207879.69923911968
standard,power_grid,power-grid,infrastructure,1,enhanced_local,enhanced_local,662,0.113671557046473,8,5823.796358567964
