benchmark,negative_ratio,is_primary_ratio,family,method_id,method,network_count,average_precision_mean,average_precision_sd_across_networks,roc_auc_mean,roc_auc_sd_across_networks,precision_mean,precision_sd_across_networks,recall_mean,recall_sd_across_networks,f1_mean,f1_sd_across_networks,ndcg_mean,ndcg_sd_across_networks,average_precision_rank
standard,5,False,local_similarity,ra,RA,8,0.7732300137375816,0.19427974486887975,0.8810652980879795,0.1233600663234004,0.7395739907872523,0.19619170722571885,0.7395739907872523,0.19619170722571885,0.7395739907872523,0.19619170722571883,0.7803129353183835,0.15581550509696282,8
standard,5,False,enhanced_local,ra_cni,RA-CNI,8,0.7977185097630769,0.14080037110618757,0.910826099342333,0.08578213658859632,0.7557200605180316,0.14548670717360793,0.7557200605180316,0.14548670717360793,0.7557200605180316,0.14548670717360793,0.7909412386640786,0.1201429034587106,5
standard,5,False,local_similarity,sa,SA,8,0.7513271218708895,0.19075803560698662,0.8771548419636985,0.12139359050800555,0.7239894269521168,0.19104897504199045,0.7239894269521168,0.19104897504199045,0.7239894269521168,0.19104897504199045,0.7630365311384384,0.1523794855946592,19
standard,5,False,local_similarity,so,SO,8,0.7522233100470592,0.189877195758697,0.8768417333355626,0.12104872823703065,0.7230572102607846,0.19048932934869034,0.7230572102607846,0.19048932934869034,0.7230572102607846,0.1904893293486903,0.7627950907129798,0.1519262473887604,17
standard,5,False,quasi_local_walk,srw,SRW-l3,8,0.835491631070201,0.1319081623552675,0.9225433701671014,0.08290364058449232,0.7914133180868821,0.13786382311118206,0.7914133180868821,0.13786382311118206,0.791413318086882,0.1378638231111821,0.8244543022706736,0.11023045838747314,1
standard,10,False,local_similarity,aa,AA,8,0.7175796325785618,0.20634662765435594,0.8798740775650484,0.12279584046970987,0.6943153385915531,0.20158127517433155,0.6943153385915531,0.20158127517433155,0.6943153385915531,0.20158127517433155,0.7379631452033272,0.16339513900332361,11
standard,10,False,enhanced_local,car_aa,CAR-AA,8,0.5381377974020505,0.2911132291300231,0.7725068862348938,0.18297699486307334,0.5145144356273795,0.2782064583425899,0.5145144356273795,0.2782064583425899,0.5145144356273795,0.2782064583425899,0.5596595878797666,0.25944662657146245,24
standard,10,False,enhanced_local,car_cn,CAR-CN,8,0.5344324659255906,0.2889092598845937,0.7721985268227698,0.1826666103775186,0.5125361321488472,0.2765243013562571,0.5125361321488472,0.2765243013562571,0.5125361321488472,0.2765243013562571,0.5576201291548485,0.2578492250582447,25
standard,10,False,enhanced_local,car_ra,CAR-RA,8,0.5458576352998359,0.2974349292121939,0.7733363964160176,0.1838348995740586,0.5209533510043236,0.28369301480137776,0.5209533510043236,0.28369301480137776,0.5209533510043236,0.28369301480137776,0.5660836073182776,0.2645856168557877,23
standard,10,False,local_similarity,cn,CN,8,0.6987210396904137,0.20595700103031783,0.8784358950432285,0.12202133082909893,0.6858343859559467,0.20147695338284866,0.6858343859559467,0.20147695338284866,0.6858343859559467,0.20147695338284866,0.7295144076218628,0.1643485089326855,16
standard,10,False,quasi_local_path,fl,FL-l3,8,0.7665648341577191,0.15137800142150318,0.9191605653383772,0.08167166607106911,0.7380780716003295,0.1466249848681879,0.7380780716003295,0.1466249848681879,0.7380780716003295,0.14662498486818784,0.7736363642589792,0.12426867040928463,2
standard,10,False,enhanced_local,fsw,FSW,8,0.7111168942910326,0.20858391177333827,0.8785815603785937,0.12235952533331987,0.6865384948295624,0.20221459037807624,0.6865384948295624,0.20221459037807624,0.6865384948295624,0.20221459037807624,0.7303123195563938,0.16528979979825228,14
standard,10,False,local_similarity,hdi,HDI,8,0.685210700729885,0.20760231632713408,0.875203505525932,0.12038410533432303,0.6718949749994199,0.20054993207330635,0.6718949749994199,0.20054993207330635,0.6718949749994199,0.20054993207330638,0.7128978259982501,0.16668769055486074,20
standard,10,False,local_similarity,hpi,HPI,8,0.6093633693743117,0.21605204446886928,0.8710512722512597,0.11837449041165547,0.6447495775731601,0.21037777071498492,0.6447495775731601,0.21037777071498492,0.6447495775731601,0.21037777071498492,0.6691878395645623,0.18880764487378346,22
standard,10,False,enhanced_local,ia1,IA1,8,0.7250500836692673,0.2082116469647019,0.8808062946284629,0.12346913594496813,0.7002948159328852,0.20251013730190387,0.7002948159328852,0.20251013730190387,0.7002948159328852,0.20251013730190387,0.7440299351935924,0.1634869698848891,6
standard,10,False,enhanced_local,ia2,IA2,8,0.7182742129683751,0.21067676287606088,0.8802079818522781,0.1233359314558842,0.6971372015261841,0.20311542552727654,0.6971372015261841,0.20311542552727654,0.6971372015261841,0.20311542552727654,0.7401661518590014,0.16481967536997297,10
