benchmark,network_id,network,domain,family,analysis_family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
standard,ego_facebook,ego-Facebook,social,local_similarity,standard_local,so,SO,0.98883342128716,0.0009784384050454099,0.9904580876195705,0.0005388541302838892,0.9549266202666331,0.0014707130682393532,0.9549266202666331,0.0014707130682393532,0.9549266202666331,0.0014707130682393185,0.9592600315605226,0.001458443025098091
standard,ego_facebook,ego-Facebook,social,quasi_local_path,quasi_local_path,fl,FL-l3,0.9927273876853837,0.0005917364735978724,0.9938534484580209,0.0004455729215195925,0.9683001554896246,0.0014961589942515275,0.9683001554896246,0.0014961589942515275,0.9683001554896246,0.0014961589942515275,0.9715626746071546,0.0013450288557925064
standard,ego_facebook,ego-Facebook,social,quasi_local_path,quasi_local_path,lpi,LPI-beta-0.001,0.992660597056271,0.0005984758377195128,0.9938178353383392,0.0004482414565582286,0.9683001554896246,0.0014961589942515275,0.9683001554896246,0.0014961589942515275,0.9683001554896246,0.0014961589942515275,0.9715555388215062,0.0013457753731549568
standard,ego_facebook,ego-Facebook,social,quasi_local_path,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,0.9891608981354617,0.0007070431753602776,0.990545150462086,0.0006179719491772649,0.9523849072796313,0.0021091106332868457,0.9523849072796313,0.0021091106332868457,0.9523849072796313,0.0021091106332868457,0.957316844776049,0.001891162923665385
standard,ego_facebook,ego-Facebook,social,quasi_local_walk,quasi_local_walk,lrw,LRW-l3,0.9948354923055733,0.00045621972432073127,0.9955508872740515,0.0004139504852069816,0.973882375477468,0.001407323043723499,0.973882375477468,0.001407323043723499,0.973882375477468,0.001407323043723499,0.9766210712412006,0.00126612042439645
standard,ego_facebook,ego-Facebook,social,quasi_local_walk,quasi_local_walk,pfp,PFP-l3,0.9848202220551201,0.0007040635721151205,0.9901373430402385,0.00039068838601743366,0.9628010991055573,0.0014089181039321499,0.9628010991055573,0.0014089181039321499,0.9628010991055573,0.0014089181039321499,0.9657680081092629,0.0012826851213385041
standard,ego_facebook,ego-Facebook,social,quasi_local_walk,quasi_local_walk,srw,SRW-l3,0.9958544778279746,0.00033494302695099497,0.9964413509130627,0.0002957342377699935,0.976637851080634,0.0014524660413769163,0.976637851080634,0.0014524660413769163,0.976637851080634,0.0014524660413769163,0.9791224803335761,0.0012988734188035165
standard,email_eu_core,email-Eu-core,communication,degree_based,standard_local,pa,PA,0.8663329424391805,0.005905864842405015,0.8733227884791331,0.004950146321322676,0.7824790503714848,0.006308188549217647,0.7824790503714848,0.006308188549217647,0.7824790503714848,0.006308188549217581,0.8029826242329132,0.005481621909402091
standard,email_eu_core,email-Eu-core,communication,enhanced_local,enhanced_local,car_aa,CAR-AA,0.9250879051329217,0.0026806305489729455,0.9265218543976677,0.0023105438339685383,0.879700150881314,0.003364340518145541,0.879700150881314,0.003364340518145541,0.879700150881314,0.003364340518145569,0.8937946624514203,0.002915672538419509
standard,email_eu_core,email-Eu-core,communication,enhanced_local,enhanced_local,car_cn,CAR-CN,0.9221705173343449,0.002807458988475884,0.9251641479489516,0.0023009463757400336,0.8785727419489643,0.002589570342980511,0.8785727419489643,0.002589570342980511,0.8785727419489643,0.0025895703429804793,0.892559522121546,0.0022532136949111803
standard,email_eu_core,email-Eu-core,communication,enhanced_local,enhanced_local,car_ra,CAR-RA,0.9303614283667718,0.0023878705338907613,0.9298279549283418,0.002242131427794435,0.8850056085619646,0.0015292271156049804,0.8850056085619646,0.0015292271156049804,0.8850056085619646,0.0015292271156049843,0.8989738982859485,0.0013026429044705684
